sede;aule
ABR;3
ARG;3
BAS1;3
BAS2;3
CAL1;3
CAL2;3
CAM1;3
CAM2;3
CAM3;3
CAM4;3
EMI1;3
EMI2;3
EMI3;3
EMI4;3
FRI;3
IRA;3
LAZ1;3
LAZ2;3
LAZ3;3
LIG;3
LOM1;3
LOM2;3
LOM3;3
LOM4;3
LOM5;3
LOM6;3
MAR01;3
MAR02;3
MOL;3
PIE1;3
PIE2;3
PUG1;3
PUG2;3
PUG3;3
PUG4;3
SAR;3
SIC1;3
SIC2;3
SIC3;3
SIC4;3
TOS1;3
TOS2;3
TOS3;3
TRA1;3
TRA2;3
UMB;3
VAL;3
VEN1;3
VEN2;3
VEN3;3
VEN4;3
VEN5;3
VEN6;3
